validation_scheme,target_kind,security,country,tenor,fold,regime,sample,config_hash,feature_count,horizon,n_obs,dir_acc,dir_coverage,r2_raw,mse_model,mse_rw,mae,ct_r2_oos,cw_stat,cw_pval,dmh_stat,dmh_pval,pt_stat,pt_pval,binom_pval,n_eff,notebook,run_ts,model_kind,is_pooled,pca_k,alpha,l1_ratio,n_nonzero
walk_forward,level_change,NOR_10Y,NOR,10Y,ZIRP_early,ZIRP,train,ab61fc9caaf0,108,5,971,0.5066941297631308,1.0,0.0,0.005165075421704191,0.0051717577265705484,0.052878419266875344,0.0012920761604948705,0.902997785520313,0.18326353511757976,0.4494064072699717,0.3266194531223762,,,0.3500927294772321,194,linear_v5,2026-06-29T20:05:32.702312+00:00,ElasticNet,False,12,0.08801728486204237,0.1,0
walk_forward,level_change,NOR_10Y,NOR,10Y,ZIRP_early,ZIRP,oos,ab61fc9caaf0,108,5,606,0.5181518151815182,1.0,-2.3112714153450398e-05,0.003007891357117617,0.0030159368151815194,0.041564438688977044,0.002667648083143903,0.9746822139147611,0.16485895909017523,0.5284937908138001,0.29867523234704924,,,0.1968200933442872,121,linear_v5,2026-06-29T20:05:32.702312+00:00,ElasticNet,False,12,0.08801728486204237,0.1,0
walk_forward,level_change,NOR_10Y,NOR,10Y,ZIRP_late,ZIRP,train,ab61fc9caaf0,108,5,1577,0.5117311350665821,1.0,0.0,0.0043392361495000475,0.004346384567216235,0.04858045766485495,0.0016446813680746075,1.2794710394604796,0.10036561579808079,0.6379099898049633,0.26181247263248825,,,0.18232749578122145,315,linear_v5,2026-06-29T20:05:32.702312+00:00,ElasticNet,False,12,0.06655377340649052,0.1,0
walk_forward,level_change,NOR_10Y,NOR,10Y,ZIRP_late,ZIRP,oos,ab61fc9caaf0,108,5,468,0.49786324786324787,1.0,-0.00444547648845961,0.0020479504689982385,0.002039000192307692,0.034849875886813104,-0.004389541856990586,-0.11853051785018151,0.5471763421087306,-0.5831086430534682,0.719949181877052,,,0.5551369333231975,94,linear_v5,2026-06-29T20:05:32.702312+00:00,ElasticNet,False,12,0.06655377340649052,0.1,0
walk_forward,level_change,NOR_10Y,NOR,10Y,COVID,COVID,train,ab61fc9caaf0,108,5,2046,0.5087976539589443,1.0,0.0,0.0038107374076333535,0.003814986829178887,0.045397333614262014,0.0011138758102732238,1.1869198674562058,0.11762961494138979,0.5921546521841066,0.2769062470931364,,,0.21953539370134142,409,linear_v5,2026-06-29T20:05:32.702312+00:00,ElasticNet,False,12,0.05767378366888612,0.1,0
walk_forward,level_change,NOR_10Y,NOR,10Y,COVID,COVID,oos,ab61fc9caaf0,108,5,354,0.4830508474576271,1.0,-0.0017980650741944437,0.004017067048001452,0.004010246101694915,0.04753915190726289,-0.001700879729963134,-0.12607049203886136,0.5501619374922933,-0.3301496504907084,0.6292586335643809,3.371747880871522e-07,0.49999986548672115,0.7551721483364444,71,linear_v5,2026-06-29T20:05:32.702312+00:00,ElasticNet,False,12,0.05767378366888612,0.1,0
walk_forward,level_change,NOR_10Y,NOR,10Y,Hiking,Hiking,train,ab61fc9caaf0,108,5,2398,0.5054211843202668,1.0,0.0,0.003844578428310864,0.0038474025239783162,0.04573818262160364,0.0007340265672363122,1.018376630114343,0.15424950195892095,0.5082327796067955,0.3056684361887435,,,0.3048471062349392,480,linear_v5,2026-06-29T20:05:32.702312+00:00,ElasticNet,False,12,0.06442625749672784,0.1,0
walk_forward,level_change,NOR_10Y,NOR,10Y,Hiking,Hiking,oos,ab61fc9caaf0,108,5,700,0.4142857142857143,1.0,-0.020287428907691973,0.008597357558773616,0.008556237164285716,0.0723337765399738,-0.004805896996350034,-2.2091256312945573,0.9864170481082992,-2.356784459730649,0.9906455771102675,,,0.999997722800051,140,linear_v5,2026-06-29T20:05:32.702312+00:00,ElasticNet,False,12,0.06442625749672784,0.1,0
walk_forward,level_change,NOR_15Y,NOR,15Y,GFC,GFC,train,ab61fc9caaf0,108,5,573,0.4851657940663176,1.0,0.0,0.006172658805649206,0.006172790575916226,0.05587813443223105,2.134695246813756e-05,0.0924121271949169,0.46318530227575794,0.04584317102184014,0.4817256247101542,,,0.7739483068914146,115,linear_v5,2026-06-29T20:05:32.702312+00:00,ElasticNet,False,12,0.12185329656316712,0.1,0
walk_forward,level_change,NOR_15Y,NOR,15Y,GFC,GFC,oos,ab61fc9caaf0,108,5,401,0.5586034912718204,1.0,-0.010959847604597117,0.004423565697447325,0.0044287250623441425,0.049514810269265755,0.0011649774651143474,1.6975444175161856,0.04479689050358182,1.6366921864022617,0.05124064496981041,2.384185791015625e-07,0.4999999048847483,0.010747337780300037,80,linear_v5,2026-06-29T20:05:32.702312+00:00,ElasticNet,False,12,0.12185329656316712,0.1,0
