security,horizon,scheme,fold,use_categoricals,learning_rate,max_depth,subsample,colsample_bytree,reg_lambda,min_child_weight,val_mse,best_n_estimators,selected
__POOL__,252,walk_forward,ZIRP_early,True,0.05,3,1.0,0.8,5.0,1,0.7979169169529408,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.05,3,1.0,0.8,5.0,5,0.7979169169529408,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.05,3,1.0,0.8,10.0,1,0.7979188534848476,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.05,3,1.0,0.8,10.0,5,0.7979188534848476,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.05,3,1.0,1.0,1.0,1,0.8005277309231106,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.05,3,1.0,1.0,1.0,5,0.8005277309231106,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.05,3,1.0,1.0,5.0,1,0.8005267070383986,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.05,3,1.0,1.0,5.0,5,0.8005267070383986,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.05,3,1.0,1.0,10.0,1,0.8005254326897284,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.05,3,1.0,1.0,10.0,5,0.8005254326897284,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.05,5,0.8,0.8,1.0,1,0.7900081305546458,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.05,5,0.8,0.8,1.0,5,0.7897573359361469,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.05,5,0.8,0.8,5.0,1,0.7902672846031941,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.05,5,0.8,0.8,5.0,5,0.7935807113258437,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.05,5,0.8,0.8,10.0,1,0.789090309647838,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.05,5,0.8,0.8,10.0,5,0.7890746685235307,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.05,5,0.8,1.0,1.0,1,0.8038624497370316,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.05,5,0.8,1.0,1.0,5,0.8038624497370316,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.05,5,0.8,1.0,5.0,1,0.8040805576064187,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.05,5,0.8,1.0,5.0,5,0.8040805576064187,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.05,5,0.8,1.0,10.0,1,0.8043271142462323,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.05,5,0.8,1.0,10.0,5,0.8043271142462323,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.05,5,1.0,0.8,1.0,1,0.7931391811060997,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.05,5,1.0,0.8,1.0,5,0.7929073813041564,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.05,5,1.0,0.8,5.0,1,0.7909021207212897,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.05,5,1.0,0.8,5.0,5,0.7908871240126151,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.05,5,1.0,0.8,10.0,1,0.7911104490718538,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.05,5,1.0,0.8,10.0,5,0.791099330151938,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.05,5,1.0,1.0,1.0,1,0.8041158393879064,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.05,5,1.0,1.0,1.0,5,0.8040622378824174,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.05,5,1.0,1.0,5.0,1,0.8038942625184908,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.05,5,1.0,1.0,5.0,5,0.8038942625184908,1,False
__POOL__,252,walk_forward,ZIRP_early,True,0.05,5,1.0,1.0,10.0,1,0.804080286173052,1,False
