notebook,run_ts,model_kind,is_pooled,validation_scheme,target_kind,security,country,tenor,horizon,fold,regime,sample,config_hash,feature_count,n_obs,dir_acc,dir_coverage,r2_raw,mse_model,mse_rw,mae,ct_r2_oos,cw_stat,cw_pval,dmh_stat,dmh_pval,pt_stat,pt_pval,binom_pval,n_eff,reject_bonferroni,reject_fdr_bh,mtc_N,mtc_family
mean_reversion,2026-06-30T09:07:53.012573+00:00,mean_reversion,False,walk_forward,level_change,NOR_30Y,NOR,30Y,1,COVID,COVID,train,bf4168325708,1,3493,0.4849699398797595,1.0,0.00025181754363179376,0.0017757745284678193,0.001776745187689664,0.0302140433720425,0.000546313128393483,1.2021828087065731,0.11464635419934899,0.601148042428721,0.27389020292070104,1.996605680519568,0.02293401764567693,0.9635627841106427,3493,False,False,,
mean_reversion,2026-06-30T09:07:53.012573+00:00,mean_reversion,False,walk_forward,level_change,NOR_30Y,NOR,30Y,1,COVID,COVID,oos,bf4168325708,1,523,0.497131931166348,1.0,-0.000239125220473424,0.0013285903868441203,0.0013289238240917782,0.027270870538490394,0.0002509077206782617,0.38112443941797225,0.351555456760956,0.24895644108755924,0.4017461989485534,,,0.569413310104507,523,False,False,150.0,walk_forward:{horizon×tenor×regime}
mean_reversion,2026-06-30T09:07:53.012573+00:00,mean_reversion,False,walk_forward,level_change,NOR_30Y,NOR,30Y,1,Hiking,Hiking,train,bf4168325708,1,4016,0.4860557768924303,1.0,0.00022355249829286716,0.001717502568806499,0.001718425821862549,0.029832410367202893,0.000537266749779941,1.2702961975898335,0.1019895710687202,0.6350832167579387,0.2627051660315178,2.624024864610019,0.004344872054695581,0.9627235180195198,4016,False,False,,
mean_reversion,2026-06-30T09:07:53.012573+00:00,mean_reversion,False,walk_forward,level_change,NOR_30Y,NOR,30Y,1,Hiking,Hiking,oos,bf4168325708,1,1105,0.45429864253393665,1.0,-0.0024492082486486932,0.0023926536144780954,0.002390964995475113,0.0378113960576671,-0.0007062499895138519,-0.6241625054546999,0.7337395660212607,-0.891166317398838,0.8134829372251088,,,0.998931150031439,1105,False,False,150.0,walk_forward:{horizon×tenor×regime}
mean_reversion,2026-06-30T09:07:53.012573+00:00,mean_reversion,False,walk_forward,level_change,NOR_1Y,NOR,1Y,5,GFC,GFC,train,bf4168325708,1,964,0.3817427385892116,1.0,0.0005385600183437367,0.01777494198442474,0.01779047533713693,0.07880668235852434,0.0008731274694929736,0.3988582795593225,0.3449988158696986,0.24034319852808633,0.40505768090581157,-1.4727423783328575,0.929589742560726,0.999999999999937,193,False,False,,
mean_reversion,2026-06-30T09:07:53.012573+00:00,mean_reversion,False,walk_forward,level_change,NOR_1Y,NOR,1Y,5,GFC,GFC,oos,bf4168325708,1,589,0.4634974533106961,1.0,-0.010643554022110147,0.004712775326752413,0.004717041943972837,0.04777919479584355,0.0009045111896610614,0.7289261594872832,0.23302341600274545,0.6751438247055495,0.24992489300069284,-2.2865837563197404,0.9888899348723544,0.9651284673775529,118,False,False,150.0,walk_forward:{horizon×tenor×regime}
mean_reversion,2026-06-30T09:07:53.012573+00:00,mean_reversion,False,walk_forward,level_change,NOR_1Y,NOR,1Y,5,ZIRP_early,ZIRP,train,bf4168325708,1,1553,0.0070830650354153256,0.0,-0.0014267904109530605,0.012832302652929815,0.012832302652929815,0.06665112685125563,0.0,,,,,,,1.0,311,False,False,,
mean_reversion,2026-06-30T09:07:53.012573+00:00,mean_reversion,False,walk_forward,level_change,NOR_1Y,NOR,1Y,5,ZIRP_early,ZIRP,oos,bf4168325708,1,1040,0.01826923076923077,0.0,-0.00796254105379024,0.001837008326923077,0.001837008326923077,0.030281346153846152,0.0,,,,,,,1.0,208,False,False,150.0,walk_forward:{horizon×tenor×regime}
mean_reversion,2026-06-30T09:07:53.012573+00:00,mean_reversion,False,walk_forward,level_change,NOR_1Y,NOR,1Y,5,ZIRP_late,ZIRP,train,bf4168325708,1,2593,0.46779791747011185,1.0,8.075571040266905e-05,0.008404749366251405,0.008421886459699192,0.052477946910609974,0.0020348283641428155,1.0748523434689021,0.14122042063047857,0.5476543951892298,0.2919881927142408,,,0.999516997592467,519,False,False,,
mean_reversion,2026-06-30T09:07:53.012573+00:00,mean_reversion,False,walk_forward,level_change,NOR_1Y,NOR,1Y,5,ZIRP_late,ZIRP,oos,bf4168325708,1,779,0.44030808729139925,1.0,-0.10604807802259897,0.0007725519610423633,0.0007229814120667522,0.02130155772386201,-0.06856407114797913,-2.7936525490604946,0.9973941779335811,-3.786742340360938,0.9999178041955176,,,0.9996263970436962,156,False,False,150.0,walk_forward:{horizon×tenor×regime}
