learning_rate,max_depth,subsample,colsample_bytree,reg_lambda,min_child_weight,val_mse,best_n_estimators,selected,security,horizon,fold,regime,scheme
0.1,3,1.0,1.0,10.0,5,0.002801863869432213,4,False,NOR_10Y,5,GFC,GFC,walk_forward
0.1,5,0.8,0.8,1.0,1,0.0028095802438711775,3,False,NOR_10Y,5,GFC,GFC,walk_forward
0.1,5,0.8,0.8,1.0,5,0.0028037177512022864,2,False,NOR_10Y,5,GFC,GFC,walk_forward
0.1,5,0.8,0.8,5.0,1,0.002756616735764515,3,False,NOR_10Y,5,GFC,GFC,walk_forward
0.1,5,0.8,0.8,5.0,5,0.002776521276839929,3,False,NOR_10Y,5,GFC,GFC,walk_forward
0.1,5,0.8,0.8,10.0,1,0.0027673212757264717,12,False,NOR_10Y,5,GFC,GFC,walk_forward
0.1,5,0.8,0.8,10.0,5,0.002739973070193894,12,False,NOR_10Y,5,GFC,GFC,walk_forward
0.1,5,0.8,1.0,1.0,1,0.0029291152043937857,16,False,NOR_10Y,5,GFC,GFC,walk_forward
0.1,5,0.8,1.0,1.0,5,0.0028094610530551957,1,False,NOR_10Y,5,GFC,GFC,walk_forward
0.1,5,0.8,1.0,5.0,1,0.0027482617217999394,10,False,NOR_10Y,5,GFC,GFC,walk_forward
0.1,5,0.8,1.0,5.0,5,0.002769735411818328,3,False,NOR_10Y,5,GFC,GFC,walk_forward
0.1,5,0.8,1.0,10.0,1,0.002745566417894959,6,False,NOR_10Y,5,GFC,GFC,walk_forward
0.1,5,0.8,1.0,10.0,5,0.0028112083141678358,3,False,NOR_10Y,5,GFC,GFC,walk_forward
0.1,5,1.0,0.8,1.0,1,0.0028126911088216487,2,False,NOR_10Y,5,GFC,GFC,walk_forward
0.1,5,1.0,0.8,1.0,5,0.0028041501558382044,1,False,NOR_10Y,5,GFC,GFC,walk_forward
0.1,5,1.0,0.8,5.0,1,0.0027737264472275144,11,False,NOR_10Y,5,GFC,GFC,walk_forward
0.1,5,1.0,0.8,5.0,5,0.0027755543860940725,12,False,NOR_10Y,5,GFC,GFC,walk_forward
0.1,5,1.0,0.8,10.0,1,0.0027666767712237186,3,False,NOR_10Y,5,GFC,GFC,walk_forward
0.1,5,1.0,0.8,10.0,5,0.0027354721866916605,7,False,NOR_10Y,5,GFC,GFC,walk_forward
0.1,5,1.0,1.0,1.0,1,0.002802519533509845,4,False,NOR_10Y,5,GFC,GFC,walk_forward
0.1,5,1.0,1.0,1.0,5,0.0028094922450444862,3,False,NOR_10Y,5,GFC,GFC,walk_forward
0.1,5,1.0,1.0,5.0,1,0.0027206728310077096,16,False,NOR_10Y,5,GFC,GFC,walk_forward
0.1,5,1.0,1.0,5.0,5,0.002711542768670265,17,False,NOR_10Y,5,GFC,GFC,walk_forward
0.1,5,1.0,1.0,10.0,1,0.0027483504739098585,10,False,NOR_10Y,5,GFC,GFC,walk_forward
0.1,5,1.0,1.0,10.0,5,0.0026987501266994792,10,True,NOR_10Y,5,GFC,GFC,walk_forward
0.01,3,0.8,0.8,1.0,1,0.004771132917132267,1,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.01,3,0.8,0.8,1.0,5,0.0047734513765968125,1,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.01,3,0.8,0.8,5.0,1,0.004769328170394319,1,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.01,3,0.8,0.8,5.0,5,0.004769328170394319,1,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.01,3,0.8,0.8,10.0,1,0.004766784651015637,1,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.01,3,0.8,0.8,10.0,5,0.004766784651015637,1,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.01,3,0.8,1.0,1.0,1,0.004771132917132267,1,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.01,3,0.8,1.0,1.0,5,0.0047734513765968125,1,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.01,3,0.8,1.0,5.0,1,0.004769328170394319,1,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.01,3,0.8,1.0,5.0,5,0.004769328170394319,1,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.01,3,0.8,1.0,10.0,1,0.004766784651015637,1,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.01,3,0.8,1.0,10.0,5,0.004766784651015637,1,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.01,3,1.0,0.8,1.0,1,0.004771120652995484,1,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.01,3,1.0,0.8,1.0,5,0.004771120652995484,1,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.01,3,1.0,0.8,5.0,1,0.004767430640631085,1,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.01,3,1.0,0.8,5.0,5,0.004767430640631085,1,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.01,3,1.0,0.8,10.0,1,0.0047605998245330294,1,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.01,3,1.0,0.8,10.0,5,0.0047605998245330294,1,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.01,3,1.0,1.0,1.0,1,0.004771120652995484,1,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.01,3,1.0,1.0,1.0,5,0.004771120652995484,1,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.01,3,1.0,1.0,5.0,1,0.004767430640631085,1,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.01,3,1.0,1.0,5.0,5,0.004767430640631085,1,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.01,3,1.0,1.0,10.0,1,0.004759312386276825,3,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.01,3,1.0,1.0,10.0,5,0.004759312386276825,3,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.01,5,0.8,0.8,1.0,1,0.004760441595147608,2,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.01,5,0.8,0.8,1.0,5,0.004771590646971631,1,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.01,5,0.8,0.8,5.0,1,0.004767247186927345,1,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.01,5,0.8,0.8,5.0,5,0.004768151526542839,1,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.01,5,0.8,0.8,10.0,1,0.004764338048081218,1,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.01,5,0.8,0.8,10.0,5,0.004766452358502145,1,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.01,5,0.8,1.0,1.0,1,0.004760441595147608,2,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.01,5,0.8,1.0,1.0,5,0.004771590646971631,1,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.01,5,0.8,1.0,5.0,1,0.0047672077397622895,1,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.01,5,0.8,1.0,5.0,5,0.0047681120793777836,1,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.01,5,0.8,1.0,10.0,1,0.0047642720490374095,1,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.01,5,0.8,1.0,10.0,5,0.004763914041721807,1,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.01,5,1.0,0.8,1.0,1,0.004724208384383887,4,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.01,5,1.0,0.8,1.0,5,0.004771718185355499,1,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.01,5,1.0,0.8,5.0,1,0.0047595005983508045,1,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.01,5,1.0,0.8,5.0,5,0.004764957397124583,1,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.01,5,1.0,0.8,10.0,1,0.004749066771555907,20,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.01,5,1.0,0.8,10.0,5,0.004751729450194972,15,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.01,5,1.0,1.0,1.0,1,0.004707882269156184,7,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.01,5,1.0,1.0,1.0,5,0.004771718185355499,1,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.01,5,1.0,1.0,5.0,1,0.004756270056988302,12,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.01,5,1.0,1.0,5.0,5,0.004764869624427218,1,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.01,5,1.0,1.0,10.0,1,0.004737506740563484,6,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.01,5,1.0,1.0,10.0,5,0.00473717277386819,6,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.05,3,0.8,0.8,1.0,1,0.004832390637337366,1,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.05,3,0.8,0.8,1.0,5,0.004846989449931539,1,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.05,3,0.8,0.8,5.0,1,0.00481335543814084,1,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.05,3,0.8,0.8,5.0,5,0.00481335543814084,1,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
0.05,3,0.8,0.8,10.0,1,0.004794659366874087,1,False,NOR_10Y,5,ZIRP_early,ZIRP,walk_forward
