notebook,run_ts,model_kind,is_pooled,validation_scheme,target_kind,security,country,tenor,horizon,fold,regime,sample,config_hash,feature_count,n_obs,dir_acc,dir_coverage,r2_raw,mse_model,mse_rw,mae,ct_r2_oos,cw_stat,cw_pval,dmh_stat,dmh_pval,pt_stat,pt_pval,binom_pval,n_eff,lookback,reject_bonferroni,reject_fdr_bh,mtc_N,mtc_family
momentum,2026-06-30T09:09:10.531464+00:00,momentum,False,walk_forward,level_change,NOR_5Y,NOR,5Y,126,COVID,COVID,train,6e63a9429d93,1,3463,0.5613629800750795,1.0,0.0011452399304312522,0.3016776639107454,0.3117215827808259,0.39589802293656673,0.032220800306735464,1.1915993498207196,0.11670919003942226,0.5784579662356102,0.2814962976074076,9.5367431640625e-07,0.4999996195389934,2.717209143842042e-13,27,5,False,False,,
momentum,2026-06-30T09:09:10.531464+00:00,momentum,False,walk_forward,level_change,NOR_5Y,NOR,5Y,126,COVID,COVID,oos,6e63a9429d93,1,623,0.21829855537720708,1.0,-0.41929145154038006,0.4456390301387849,0.3872817344147673,0.5667650928184205,-0.15068434821023247,-1.2991328810718514,0.9030508346983946,-1.264360016315154,0.8967127977290832,,,1.0,5,5,False,False,150.0,walk_forward:{horizon×tenor×regime}
momentum,2026-06-30T09:09:10.531464+00:00,momentum,False,walk_forward,level_change,NOR_5Y,NOR,5Y,126,Hiking,Hiking,train,6e63a9429d93,1,3843,0.6034348165495707,1.0,0.058955863429157374,0.28554736005382164,0.32033369377004944,0.39361808775088647,0.10859405174280246,2.4598619485216457,0.0069495234050275245,1.1800176005980965,0.11903313550050026,10.324224233699473,0.0,4.077859147869364e-38,30,250,False,False,,
momentum,2026-06-30T09:09:10.531464+00:00,momentum,False,walk_forward,level_change,NOR_5Y,NOR,5Y,126,Hiking,Hiking,oos,6e63a9429d93,1,1006,0.4095427435387674,1.0,-0.8348712416940416,0.5562582598694151,0.34753639626739563,0.5688075916802093,-0.6005755536505828,-1.1976348805334551,0.8844704046299765,-1.866456003978677,0.9688656727757481,3.2504240248380767,0.0005761652681978147,0.9999999963809505,8,250,False,False,150.0,walk_forward:{horizon×tenor×regime}
momentum,2026-06-30T09:09:10.531464+00:00,momentum,False,walk_forward,level_change,NOR_10Y,NOR,10Y,126,GFC,GFC,train,6e63a9429d93,1,786,0.544529262086514,1.0,0.01698283485315888,0.35724307322534443,0.36345582138994914,0.46837681275706744,0.017093544246575942,0.6708503854632921,0.2511579229004567,0.2794223323623746,0.3899971686312566,3.013794951395108,0.0012900105811083362,0.006899156025770129,6,60,False,False,,
momentum,2026-06-30T09:09:10.531464+00:00,momentum,False,walk_forward,level_change,NOR_10Y,NOR,10Y,126,GFC,GFC,oos,6e63a9429d93,1,692,0.5,1.0,-0.23397818033886786,0.18614231651923638,0.19405724508670522,0.3636897177863799,0.04078656565454397,0.8307084363206771,0.20306917967443217,0.48802017048236634,0.3128451830830572,6.289053242502795,1.5970391675779183e-10,0.5151600320816843,5,60,False,False,150.0,walk_forward:{horizon×tenor×regime}
momentum,2026-06-30T09:09:10.531464+00:00,momentum,False,walk_forward,level_change,NOR_10Y,NOR,10Y,126,ZIRP_early,ZIRP,train,6e63a9429d93,1,1293,0.682907965970611,1.0,0.050884732837114144,0.21964747105122448,0.28441537492846103,0.3671636849479075,0.2277229347869384,2.478187647850421,0.006602583793246741,1.1096945584784863,0.13366858279890276,,,1.538839657370399e-40,10,250,False,False,,
momentum,2026-06-30T09:09:10.531464+00:00,momentum,False,walk_forward,level_change,NOR_10Y,NOR,10Y,126,ZIRP_early,ZIRP,oos,6e63a9429d93,1,1026,0.6325536062378168,1.0,0.07727363948940369,0.15960782390416278,0.19707697195906432,0.3254826610825458,0.19012443555650127,1.8324217632591138,0.033444304043654394,0.7776827365310288,0.21846776464237128,,,8.677506036213044e-18,8,250,True,True,150.0,walk_forward:{horizon×tenor×regime}
momentum,2026-06-30T09:09:10.531464+00:00,momentum,False,walk_forward,level_change,NOR_10Y,NOR,10Y,126,ZIRP_late,ZIRP,train,6e63a9429d93,1,2317,0.6940008631851532,1.0,0.07303010026721413,0.17685632299573453,0.23655609969033234,0.33146802962325317,0.2523704811363934,3.373790139229732,0.0003707043382028541,1.6120770232435189,0.05354071558894474,9.672957664386574,0.0,5.4651158231651284e-80,18,250,False,False,,
momentum,2026-06-30T09:09:10.531464+00:00,momentum,False,walk_forward,level_change,NOR_10Y,NOR,10Y,126,ZIRP_late,ZIRP,oos,6e63a9429d93,1,782,0.5690537084398977,1.0,-0.4624461176789907,0.19119773488999786,0.1419971488746803,0.3694718332029962,-0.34648995705357155,0.9399426886720017,0.17362347944502987,-0.6869811776729152,0.7538507405031127,4.76837158203125e-07,0.49999980976949676,6.35756029548912e-05,6,250,True,True,150.0,walk_forward:{horizon×tenor×regime}
momentum,2026-06-30T09:09:10.531464+00:00,momentum,False,walk_forward,level_change,NOR_10Y,NOR,10Y,126,COVID,COVID,train,6e63a9429d93,1,3344,0.5870215311004785,1.0,0.00030388060263197847,0.1912489931289172,0.2030044233911483,0.34361339367496035,0.057907261654002395,1.6252263434645122,0.05205716960887685,0.7804349187443859,0.2175950879944099,9.5367431640625e-07,0.4999996195389934,3.656569078030606e-24,27,5,False,False,,
momentum,2026-06-30T09:09:10.531464+00:00,momentum,False,walk_forward,level_change,NOR_10Y,NOR,10Y,126,COVID,COVID,oos,6e63a9429d93,1,542,0.24169741697416974,1.0,-0.5848850490740021,0.4501305843778081,0.3726348943542435,0.5641488945142109,-0.20796680932917067,-1.7662953970731128,0.9613268482872308,-1.59470038611561,0.9443183756483466,,,1.0,4,5,False,False,150.0,walk_forward:{horizon×tenor×regime}
