horizon,scheme,fold,use_categoricals,cat_n_trees,cat_depth,best_n_est,learning_rate,depth,cat_mvs_fraction,rsm,l2_leaf_reg,min_data_in_leaf,val_mse,best_n_estimators,selected
252,walk_forward,ZIRP_early,True,1,4,1,0.05,4,1.0,0.8,1.0,1,0.8043319064857346,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.05,4,1.0,0.8,1.0,5,0.8043319064857346,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.05,4,1.0,0.8,5.0,1,0.804329310919669,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.05,4,1.0,0.8,5.0,5,0.804329310919669,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.05,4,1.0,0.8,10.0,1,0.8043260676443764,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.05,4,1.0,0.8,10.0,5,0.8043260676443764,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.05,4,1.0,1.0,1.0,1,0.8026048644978983,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.05,4,1.0,1.0,1.0,5,0.8026048644978983,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.05,4,1.0,1.0,5.0,1,0.8026009409547832,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.05,4,1.0,1.0,5.0,5,0.8026009409547832,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.05,4,1.0,1.0,10.0,1,0.802596040399362,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.05,4,1.0,1.0,10.0,5,0.802596040399362,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.05,6,0.8,0.8,1.0,1,0.7964662842448892,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.05,6,0.8,0.8,1.0,5,0.7964662842448892,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.05,6,0.8,0.8,5.0,1,0.7964557695473793,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.05,6,0.8,0.8,5.0,5,0.7964557695473793,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.05,6,0.8,0.8,10.0,1,0.7964427160878139,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.05,6,0.8,0.8,10.0,5,0.7964427160878139,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.05,6,0.8,1.0,1.0,1,0.7913288723168436,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.05,6,0.8,1.0,1.0,5,0.7913288723168436,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.05,6,0.8,1.0,5.0,1,0.7913491426027421,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.05,6,0.8,1.0,5.0,5,0.7913491426027421,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.05,6,0.8,1.0,10.0,1,0.7913742422600322,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.05,6,0.8,1.0,10.0,5,0.7913742422600322,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.05,6,1.0,0.8,1.0,1,0.8084188237422933,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.05,6,1.0,0.8,1.0,5,0.8084188237422933,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.05,6,1.0,0.8,5.0,1,0.8083933716503134,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.05,6,1.0,0.8,5.0,5,0.8083933716503134,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.05,6,1.0,0.8,10.0,1,0.808361678077237,1,False
252,walk_forward,ZIRP_early,True,1,4,1,0.05,6,1.0,0.8,10.0,5,0.808361678077237,1,False
