security,horizon,scheme,fold,use_categoricals,importance_type,feature,relevance,bucket,ntrees,depth,tau_w
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,swap_ibor_basis,1.7534129680035304,curve,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,move_level,0.25376464402664783,vol,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,move_zscore,0.0902398532443576,vol,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,vix_level,0.04265535173038905,vol,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,vix_zscore,0.056083152982695963,vol,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,v2x_level,0.1244377289997266,vol,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,vxn_level,0.544229172215938,vol,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,ovx_level,0.2083989221845402,vol,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,gvz_level,0.0,vol,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,spx_mom_1m,0.9586775895911804,macro,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,spx_mom_3m,2.5908909236921294,macro,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,sx5e_mom_1m,0.31567542791918773,macro,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,sx5e_mom_3m,0.342628855460516,macro,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,mxwo_mom_1m,0.3821815654028872,macro,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,ndx_mom_1m,0.0,macro,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,oil_mom_1m,0.0702988529053126,macro,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,oil_mom_3m,0.7535712693338242,macro,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,copper_mom_1m,1.0192517684075761,macro,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,opec_prod,0.13227512681523285,macro,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,natgas_mom_1m,0.0,macro,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,be5y_level,0.041140368868397836,macro,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,be10y_level,0.0,macro,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,be_slope,0.0,macro,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,be5y_chg_1m,0.15441629803451537,macro,60,6,
__POOL__,1,walk_forward,ZIRP_early,True,PredictionValuesChange,ig_spread,0.0,credit,60,6,
